algorithm,array_type,array_size,time_us,char_cmp
StdMergeSort,random,100,239.7,610
StdQuickSort,random,100,34.4,663
StringMergeSort,random,100,315.4,1293
StringQuickSort,random,100,17.3,581
MsdRadixSort,random,100,229.3,187
MsdRadixSortHybrid,random,100,39.6,171
StdMergeSort,reverse,100,232.1,600
StdQuickSort,reverse,100,180.1,6683
StringMergeSort,reverse,100,384.5,1810
StringQuickSort,reverse,100,34.3,828
MsdRadixSort,reverse,100,439.9,265
MsdRadixSortHybrid,reverse,100,95.9,1235
StdMergeSort,nearly_sorted,100,285.9,856
StdQuickSort,nearly_sorted,100,100,1932
StringMergeSort,nearly_sorted,100,361.8,1928
StringQuickSort,nearly_sorted,100,28,929
MsdRadixSort,nearly_sorted,100,287.5,256
MsdRadixSortHybrid,nearly_sorted,100,57.2,724
StdMergeSort,random,200,550.8,1498
StdQuickSort,random,200,111.5,1649
StringMergeSort,random,200,616.4,3116
StringQuickSort,random,200,41.8,1413
MsdRadixSort,random,200,347.2,403
MsdRadixSortHybrid,random,200,48.1,423
StdMergeSort,reverse,200,608.7,1310
StdQuickSort,reverse,200,753.2,23585
StringMergeSort,reverse,200,600.5,4151
StringQuickSort,reverse,200,49.1,2477
MsdRadixSort,reverse,200,377.6,527
MsdRadixSortHybrid,reverse,200,86,2625
StdMergeSort,nearly_sorted,200,317.3,1922
StdQuickSort,nearly_sorted,200,185.5,5214
StringMergeSort,nearly_sorted,200,778.4,4436
StringQuickSort,nearly_sorted,200,36.7,1888
MsdRadixSort,nearly_sorted,200,331.6,497
MsdRadixSortHybrid,nearly_sorted,200,62.3,1349
StdMergeSort,random,300,542.9,2557
StdQuickSort,random,300,86.1,2885
StringMergeSort,random,300,603.5,5205
StringQuickSort,random,300,43.9,2287
MsdRadixSort,random,300,398.3,626
MsdRadixSortHybrid,random,300,65.9,748
StdMergeSort,reverse,300,499.5,2050
StdQuickSort,reverse,300,1086.9,50594
StringMergeSort,reverse,300,594.9,6735
StringQuickSort,reverse,300,59.8,3877
MsdRadixSort,reverse,300,454.9,796
MsdRadixSortHybrid,reverse,300,114.2,4018
StdMergeSort,nearly_sorted,300,474.8,2948
StdQuickSort,nearly_sorted,300,206.6,9793
StringMergeSort,nearly_sorted,300,591.1,7177
StringQuickSort,nearly_sorted,300,46.1,3106
MsdRadixSort,nearly_sorted,300,508.8,751
MsdRadixSortHybrid,nearly_sorted,300,96.1,2019
StdMergeSort,random,400,604.9,3680
StdQuickSort,random,400,121,4054
StringMergeSort,random,400,1138.3,7431
StringQuickSort,random,400,61.1,3234
MsdRadixSort,random,400,472,849
MsdRadixSortHybrid,random,400,122.7,1119
StdMergeSort,reverse,400,641.9,2874
StdQuickSort,reverse,400,2236.9,87222
StringMergeSort,reverse,400,1330.5,9490
StringQuickSort,reverse,400,101.6,5475
MsdRadixSort,reverse,400,1334.8,1064
MsdRadixSortHybrid,reverse,400,332.2,5211
StdMergeSort,nearly_sorted,400,876.7,4182
StdQuickSort,nearly_sorted,400,451.8,14007
StringMergeSort,nearly_sorted,400,1628.2,10119
StringQuickSort,nearly_sorted,400,148.4,4383
MsdRadixSort,nearly_sorted,400,639.6,1008
MsdRadixSortHybrid,nearly_sorted,400,111.1,2700
StdMergeSort,random,500,808.7,4889
StdQuickSort,random,500,256.5,5664
StringMergeSort,random,500,1456.5,9790
StringQuickSort,random,500,95.1,3980
MsdRadixSort,random,500,597.9,1083
MsdRadixSortHybrid,random,500,129.6,1537
StdMergeSort,reverse,500,1203.2,3823
StdQuickSort,reverse,500,4283.5,134380
StringMergeSort,reverse,500,1784.6,12322
StringQuickSort,reverse,500,176.9,8046
MsdRadixSort,reverse,500,1223.5,1334
MsdRadixSortHybrid,reverse,500,352.5,6561
StdMergeSort,nearly_sorted,500,1813.8,5156
StdQuickSort,nearly_sorted,500,430.1,19872
StringMergeSort,nearly_sorted,500,1126.1,12993
StringQuickSort,nearly_sorted,500,118.4,5904
MsdRadixSort,nearly_sorted,500,799.7,1265
MsdRadixSortHybrid,nearly_sorted,500,159.7,3440
StdMergeSort,random,600,973,6174
StdQuickSort,random,600,187.2,7307
StringMergeSort,random,600,1329,12350
StringQuickSort,random,600,84.7,4711
MsdRadixSort,random,600,747.2,1335
MsdRadixSortHybrid,random,600,149.4,1975
StdMergeSort,reverse,600,1334.7,4478
StdQuickSort,reverse,600,5873.2,191395
StringMergeSort,reverse,600,1424.7,15290
StringQuickSort,reverse,600,130.3,9755
MsdRadixSort,reverse,600,975.3,1605
MsdRadixSortHybrid,reverse,600,386.8,7898
StdMergeSort,nearly_sorted,600,1575.8,6715
StdQuickSort,nearly_sorted,600,631.1,27050
StringMergeSort,nearly_sorted,600,1237.7,16290
StringQuickSort,nearly_sorted,600,108.5,7656
MsdRadixSort,nearly_sorted,600,812.6,1525
MsdRadixSortHybrid,nearly_sorted,600,150.1,4250
StdMergeSort,random,700,1690.5,7483
StdQuickSort,random,700,394.8,8309
StringMergeSort,random,700,3062.7,14855
StringQuickSort,random,700,128.2,5975
MsdRadixSort,random,700,600.1,1562
MsdRadixSortHybrid,random,700,141.5,2425
StdMergeSort,reverse,700,1114.3,5341
StdQuickSort,reverse,700,5805.3,258310
StringMergeSort,reverse,700,1540.7,18234
StringQuickSort,reverse,700,168.2,12744
MsdRadixSort,reverse,700,1035.3,1868
MsdRadixSortHybrid,reverse,700,269.7,9291
StdMergeSort,nearly_sorted,700,1173.2,8216
StdQuickSort,nearly_sorted,700,627.5,30951
StringMergeSort,nearly_sorted,700,1576.1,19634
StringQuickSort,nearly_sorted,700,124.1,8610
MsdRadixSort,nearly_sorted,700,935.4,1803
MsdRadixSortHybrid,nearly_sorted,700,172.4,4861
StdMergeSort,random,800,1691.1,8843
StdQuickSort,random,800,265.9,10318
StringMergeSort,random,800,2178.7,17468
StringQuickSort,random,800,129.4,7782
MsdRadixSort,random,800,869.7,1807
MsdRadixSortHybrid,random,800,209,2939
StdMergeSort,reverse,800,1251.2,6197
StdQuickSort,reverse,800,6967.8,335123
StringMergeSort,reverse,800,1889.1,21289
StringQuickSort,reverse,800,205.5,16047
MsdRadixSort,reverse,800,1117.2,2130
MsdRadixSortHybrid,reverse,800,271.1,10712
StdMergeSort,nearly_sorted,800,1321.1,9492
StdQuickSort,nearly_sorted,800,755.6,34221
StringMergeSort,nearly_sorted,800,2594.7,22997
StringQuickSort,nearly_sorted,800,256.4,9312
MsdRadixSort,nearly_sorted,800,1485.3,2067
MsdRadixSortHybrid,nearly_sorted,800,251.1,5466
StdMergeSort,random,900,1537.8,10266
StdQuickSort,random,900,294.1,12405
StringMergeSort,random,900,2106.5,20147
StringQuickSort,random,900,162.3,8731
MsdRadixSort,random,900,1024,2052
MsdRadixSortHybrid,random,900,219.4,3450
StdMergeSort,reverse,900,1473.1,7181
StdQuickSort,reverse,900,9325.5,422169
StringMergeSort,reverse,900,1699,24442
StringQuickSort,reverse,900,211.3,18439
MsdRadixSort,reverse,900,1432.6,2400
MsdRadixSortHybrid,reverse,900,288.3,12068
StdMergeSort,nearly_sorted,900,1844,10708
StdQuickSort,nearly_sorted,900,863,32701
StringMergeSort,nearly_sorted,900,1968,26236
StringQuickSort,nearly_sorted,900,148,10952
MsdRadixSort,nearly_sorted,900,930.1,2334
MsdRadixSortHybrid,nearly_sorted,900,194.7,6085
StdMergeSort,random,1000,1640.2,11710
StdQuickSort,random,1000,489.3,13555
StringMergeSort,random,1000,2375,22817
StringQuickSort,random,1000,154.3,8926
MsdRadixSort,random,1000,1033.6,2296
MsdRadixSortHybrid,random,1000,252.9,4013
StdMergeSort,reverse,1000,1772.1,8176
StdQuickSort,reverse,1000,12829.9,519304
StringMergeSort,reverse,1000,2877.7,27558
StringQuickSort,reverse,1000,267.5,21885
MsdRadixSort,reverse,1000,1609.3,2669
MsdRadixSortHybrid,reverse,1000,530.3,13394
StdMergeSort,nearly_sorted,1000,1551.7,11777
StdQuickSort,nearly_sorted,1000,738.9,36967
StringMergeSort,nearly_sorted,1000,3433.4,29436
StringQuickSort,nearly_sorted,1000,288,12070
MsdRadixSort,nearly_sorted,1000,1895.5,2590
MsdRadixSortHybrid,nearly_sorted,1000,327.2,6817
StdMergeSort,random,1100,2074.4,13166
StdQuickSort,random,1100,425.9,15779
StringMergeSort,random,1100,2927.7,25621
StringQuickSort,random,1100,159.4,10936
MsdRadixSort,random,1100,986,2555
MsdRadixSortHybrid,random,1100,275,4521
StdMergeSort,reverse,1100,2048.1,8936
StdQuickSort,reverse,1100,14423.1,626715
StringMergeSort,reverse,1100,2842,30860
StringQuickSort,reverse,1100,331.6,25697
MsdRadixSort,reverse,1100,1796.9,2953
MsdRadixSortHybrid,reverse,1100,429.3,14882
StdMergeSort,nearly_sorted,1100,1933.6,13564
StdQuickSort,nearly_sorted,1100,1470.4,61714
StringMergeSort,nearly_sorted,1100,2815.1,33051
StringQuickSort,nearly_sorted,1100,296.3,13098
MsdRadixSort,nearly_sorted,1100,1765.2,2864
MsdRadixSortHybrid,nearly_sorted,1100,372.8,7480
StdMergeSort,random,1200,2321.4,14680
StdQuickSort,random,1200,451.6,17608
StringMergeSort,random,1200,2674.8,28517
StringQuickSort,random,1200,231,11285
MsdRadixSort,random,1200,1500.4,2818
MsdRadixSortHybrid,random,1200,319.6,5018
StdMergeSort,reverse,1200,1903,9677
StdQuickSort,reverse,1200,17228.4,744136
StringMergeSort,reverse,1200,2724.9,34193
StringQuickSort,reverse,1200,304.8,29131
MsdRadixSort,reverse,1200,1789.1,3235
MsdRadixSortHybrid,reverse,1200,407.3,16297
StdMergeSort,nearly_sorted,1200,1909,14967
StdQuickSort,nearly_sorted,1200,1504,60621
StringMergeSort,nearly_sorted,1200,2839.8,36650
StringQuickSort,nearly_sorted,1200,196,14041
MsdRadixSort,nearly_sorted,1200,1745.5,3137
MsdRadixSortHybrid,nearly_sorted,1200,349,8153
StdMergeSort,random,1300,2317.1,16228
StdQuickSort,random,1300,472.2,20257
StringMergeSort,random,1300,3012.6,31412
StringQuickSort,random,1300,217.2,12401
MsdRadixSort,random,1300,1423.5,3090
MsdRadixSortHybrid,random,1300,416,5600
StdMergeSort,reverse,1300,3177.7,10629
StdQuickSort,reverse,1300,20315.3,871144
StringMergeSort,reverse,1300,2889.8,37488
StringQuickSort,reverse,1300,410.8,33700
MsdRadixSort,reverse,1300,1824,3502
MsdRadixSortHybrid,reverse,1300,433.1,17543
StdMergeSort,nearly_sorted,1300,2145.4,16447
StdQuickSort,nearly_sorted,1300,1492.7,73469
StringMergeSort,nearly_sorted,1300,3442.7,40248
StringQuickSort,nearly_sorted,1300,213.4,16160
MsdRadixSort,nearly_sorted,1300,1741.6,3403
MsdRadixSortHybrid,nearly_sorted,1300,342.2,8788
StdMergeSort,random,1400,2590.1,17750
StdQuickSort,random,1400,507.6,22065
StringMergeSort,random,1400,3244.5,34273
StringQuickSort,random,1400,269.2,13829
MsdRadixSort,random,1400,1804.4,3352
MsdRadixSortHybrid,random,1400,792.4,6169
StdMergeSort,reverse,1400,2598.8,11383
StdQuickSort,reverse,1400,22369.1,1007844
StringMergeSort,reverse,1400,3212.9,40740
StringQuickSort,reverse,1400,463,38064
MsdRadixSort,reverse,1400,2165.5,3766
MsdRadixSortHybrid,reverse,1400,472.5,18879
StdMergeSort,nearly_sorted,1400,2377.4,18102
StdQuickSort,nearly_sorted,1400,1707.5,80664
StringMergeSort,nearly_sorted,1400,3209,44071
StringQuickSort,nearly_sorted,1400,240.5,17530
MsdRadixSort,nearly_sorted,1400,1893.6,3688
MsdRadixSortHybrid,nearly_sorted,1400,383.5,9426
StdMergeSort,random,1500,2892.2,19325
StdQuickSort,random,1500,523.3,22696
StringMergeSort,random,1500,3578.8,37332
StringQuickSort,random,1500,294.1,15313
MsdRadixSort,random,1500,1693.5,3637
MsdRadixSortHybrid,random,1500,364,6782
StdMergeSort,reverse,1500,2441.4,12488
StdQuickSort,reverse,1500,25883.1,1154824
StringMergeSort,reverse,1500,3934,44177
StringQuickSort,reverse,1500,511.9,41908
MsdRadixSort,reverse,1500,2130.4,4033
MsdRadixSortHybrid,reverse,1500,502.5,20357
StdMergeSort,nearly_sorted,1500,2591.3,19440
StdQuickSort,nearly_sorted,1500,1828.8,88526
StringMergeSort,nearly_sorted,1500,3490,47691
StringQuickSort,nearly_sorted,1500,252.5,18768
MsdRadixSort,nearly_sorted,1500,2103.5,3945
MsdRadixSortHybrid,nearly_sorted,1500,404.2,10135
StdMergeSort,random,1600,2780,20927
StdQuickSort,random,1600,790.8,24572
StringMergeSort,random,1600,3748.6,40303
StringQuickSort,random,1600,278.3,16876
MsdRadixSort,random,1600,1833.5,3910
MsdRadixSortHybrid,random,1600,411.8,7410
StdMergeSort,reverse,1600,2603.9,13338
StdQuickSort,reverse,1600,28532.8,1311612
StringMergeSort,reverse,1600,3523.3,47440
StringQuickSort,reverse,1600,576.1,46797
MsdRadixSort,reverse,1600,2574.2,4297
MsdRadixSortHybrid,reverse,1600,526.5,21682
StdMergeSort,nearly_sorted,1600,2675.1,20861
StdQuickSort,nearly_sorted,1600,2047.6,98440
StringMergeSort,nearly_sorted,1600,3656.7,51328
StringQuickSort,nearly_sorted,1600,277.5,20214
MsdRadixSort,nearly_sorted,1600,2383.8,4213
MsdRadixSortHybrid,nearly_sorted,1600,399.9,10775
StdMergeSort,random,1700,3941.8,22641
StdQuickSort,random,1700,973.1,25604
StringMergeSort,random,1700,4358.3,43354
StringQuickSort,random,1700,447.8,17682
MsdRadixSort,random,1700,2145,4198
MsdRadixSortHybrid,random,1700,399.1,8083
StdMergeSort,reverse,1700,2869.9,14200
StdQuickSort,reverse,1700,32236.4,1478746
StringMergeSort,reverse,1700,3940.8,50845
StringQuickSort,reverse,1700,632.5,52239
MsdRadixSort,reverse,1700,2375.5,4566
MsdRadixSortHybrid,reverse,1700,552.2,23174
StdMergeSort,nearly_sorted,1700,3258.1,22364
StdQuickSort,nearly_sorted,1700,2456.9,100012
StringMergeSort,nearly_sorted,1700,4181.6,54845
StringQuickSort,nearly_sorted,1700,297.2,21529
MsdRadixSort,nearly_sorted,1700,2635.1,4492
MsdRadixSortHybrid,nearly_sorted,1700,448.5,11443
StdMergeSort,random,1800,3491.9,24248
StdQuickSort,random,1800,650,29042
StringMergeSort,random,1800,4672.8,46359
StringQuickSort,random,1800,307.5,18453
MsdRadixSort,random,1800,1764.9,4487
MsdRadixSortHybrid,random,1800,401.2,8774
StdMergeSort,reverse,1800,2836.7,15346
StdQuickSort,reverse,1800,38105.7,1656114
StringMergeSort,reverse,1800,3942.6,54369
StringQuickSort,reverse,1800,581.3,57972
MsdRadixSort,reverse,1800,1912.1,4838
MsdRadixSortHybrid,reverse,1800,519.4,24772
StdMergeSort,nearly_sorted,1800,3390.9,23639
StdQuickSort,nearly_sorted,1800,2377.2,113218
StringMergeSort,nearly_sorted,1800,4570.1,58426
StringQuickSort,nearly_sorted,1800,280.5,23255
MsdRadixSort,nearly_sorted,1800,2244.5,4756
MsdRadixSortHybrid,nearly_sorted,1800,547.1,12091
StdMergeSort,random,1900,3645.2,25923
StdQuickSort,random,1900,719.7,31644
StringMergeSort,random,1900,4810.5,49400
StringQuickSort,random,1900,395.5,19662
MsdRadixSort,random,1900,2316.1,4754
MsdRadixSortHybrid,random,1900,600.8,9290
StdMergeSort,reverse,1900,3228.3,16304
StdQuickSort,reverse,1900,40421.9,1843116
StringMergeSort,reverse,1900,4321.7,57598
StringQuickSort,reverse,1900,880.1,64746
MsdRadixSort,reverse,1900,4041.2,5103
MsdRadixSortHybrid,reverse,1900,680.4,26230
StdMergeSort,nearly_sorted,1900,3259.6,24823
StdQuickSort,nearly_sorted,1900,2642.7,122620
StringMergeSort,nearly_sorted,1900,5023.8,61858
StringQuickSort,nearly_sorted,1900,345.1,24339
MsdRadixSort,nearly_sorted,1900,2619.4,5023
MsdRadixSortHybrid,nearly_sorted,1900,539.4,12638
StdMergeSort,random,2000,4061.7,27574
StdQuickSort,random,2000,726.1,32798
StringMergeSort,random,2000,4936,52440
StringQuickSort,random,2000,372.6,21503
MsdRadixSort,random,2000,2670.8,5039
MsdRadixSortHybrid,random,2000,624,9930
StdMergeSort,reverse,2000,3502.6,17437
StdQuickSort,reverse,2000,42589,2040218
StringMergeSort,reverse,2000,4490,61206
StringQuickSort,reverse,2000,888.9,68746
MsdRadixSort,reverse,2000,2772.7,5374
MsdRadixSortHybrid,reverse,2000,684.9,27667
StdMergeSort,nearly_sorted,2000,3770.4,26332
StdQuickSort,nearly_sorted,2000,1489.7,73071
StringMergeSort,nearly_sorted,2000,4730.5,65519
StringQuickSort,nearly_sorted,2000,353.2,26259
MsdRadixSort,nearly_sorted,2000,3066.2,5297
MsdRadixSortHybrid,nearly_sorted,2000,729.7,13236
StdMergeSort,random,2100,4419.5,29272
StdQuickSort,random,2100,825.6,35351
StringMergeSort,random,2100,5063.2,55552
StringQuickSort,random,2100,406.6,21921
MsdRadixSort,random,2100,2619.7,5336
MsdRadixSortHybrid,random,2100,563.5,10544
StdMergeSort,reverse,2100,3586.5,18310
StdQuickSort,reverse,2100,49859.4,2247487
StringMergeSort,reverse,2100,4705.7,64630
StringQuickSort,reverse,2100,939.5,75727
MsdRadixSort,reverse,2100,3232.4,5640
MsdRadixSortHybrid,reverse,2100,700.4,29276
StdMergeSort,nearly_sorted,2100,3690.5,27639
StdQuickSort,nearly_sorted,2100,1736.5,72494
StringMergeSort,nearly_sorted,2100,4909.2,69200
